epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4089,2.59551,4.18924,1.9768,0.38549,0.10979,0.07982,0.04466,1.49662,2.75266,1.20972,0.0001,0.0001,0.0001
2,12.831,1.54491,2.0427,1.22335,0.62373,0.50536,0.40851,0.26034,1.16005,5.04534,1.04849,0.000211448,0.000211448,0.000211448
3,15.0347,1.25739,1.37301,1.10105,0.67829,0.59781,0.52962,0.36224,1.22836,2.32921,1.11249,0.000321783,0.000321783,0.000321783
4,17.0666,1.22463,1.25443,1.0834,0.29333,0.58095,0.4473,0.30439,1.38738,4.67317,1.18447,0.000431003,0.000431003,0.000431003
5,19.0232,1.1847,1.13938,1.05935,0.57595,0.53949,0.35636,0.231,1.30728,4.5147,1.15038,0.00053911,0.00053911,0.00053911
6,21.0609,1.16459,1.16258,1.0541,0.73289,0.57808,0.61079,0.42303,1.16322,1.66436,1.07788,0.000646103,0.000646103,0.000646103
7,23.0901,1.11125,1.05963,1.04038,0.64636,0.46756,0.4374,0.32408,1.20488,2.83505,1.09907,0.000751982,0.000751982,0.000751982
8,24.9055,1.13363,1.07733,1.05072,0.67682,0.56771,0.52345,0.37244,1.19353,2.03836,1.13886,0.000856748,0.000856748,0.000856748
9,26.8013,1.10248,0.99665,1.03384,0.83791,0.59589,0.64454,0.44421,1.13356,1.34096,1.0797,0.0009604,0.0009604,0.0009604
10,28.735,1.10428,1.01439,1.02905,0.76283,0.58177,0.60012,0.42314,1.17838,1.38078,1.10743,0.00106294,0.00106294,0.00106294
11,30.5677,1.09562,0.99571,1.02228,0.78854,0.54847,0.61373,0.42213,1.13382,1.42628,1.07552,0.00116436,0.00116436,0.00116436
12,32.3955,1.07885,0.95902,1.02099,0.38456,0.48341,0.43745,0.32558,1.30657,1.87711,1.15198,0.00118194,0.00118194,0.00118194
13,34.191,1.06841,0.89513,1.00961,0.79251,0.5906,0.67157,0.45129,1.24967,1.36603,1.09207,0.00117575,0.00117575,0.00117575
14,36.1724,1.10229,0.92027,1.02986,0.76986,0.59171,0.59534,0.43627,1.13563,1.4474,1.08065,0.00116956,0.00116956,0.00116956
15,38.1678,1.09664,0.90012,1.02134,0.80721,0.56028,0.66385,0.44128,1.2907,1.63234,1.12559,0.00116337,0.00116337,0.00116337
16,39.9833,1.14293,0.9117,1.0321,0.57929,0.60256,0.54921,0.36884,1.2102,1.80166,1.1164,0.00115719,0.00115719,0.00115719
17,41.8143,1.08872,0.88969,1.02497,0.55716,0.69732,0.64025,0.427,1.19276,1.30321,1.09589,0.001151,0.001151,0.001151
18,43.6456,1.03075,0.83745,1.00173,0.76615,0.56739,0.61502,0.44046,1.15121,1.43951,1.06824,0.00114481,0.00114481,0.00114481
19,45.4445,1.019,0.82294,0.99459,0.81249,0.56393,0.62745,0.44138,1.16636,1.38398,1.09112,0.00113863,0.00113863,0.00113863
20,47.2969,0.99468,0.81438,0.98839,0.83437,0.60604,0.65623,0.4712,1.20905,1.18769,1.11555,0.00113244,0.00113244,0.00113244
21,49.3023,1.01001,0.79681,0.98454,0.51051,0.63752,0.60338,0.42532,1.15703,1.80149,1.07991,0.00112625,0.00112625,0.00112625
22,51.2995,0.96492,0.80025,0.97094,0.57954,0.7177,0.6568,0.47602,1.07583,1.04007,1.04923,0.00112006,0.00112006,0.00112006
23,53.3038,0.96028,0.78431,0.96635,0.55055,0.76991,0.68056,0.50276,1.1082,1.12244,1.07489,0.00111388,0.00111388,0.00111388
24,55.2185,0.96478,0.78848,0.97003,0.70493,0.71689,0.72914,0.49967,1.05784,0.96966,1.02078,0.00110769,0.00110769,0.00110769
25,57.3119,0.95705,0.77212,0.97203,0.7179,0.71257,0.72523,0.52609,0.98683,0.89043,0.99263,0.0011015,0.0011015,0.0011015
26,59.2075,0.92155,0.745,0.95049,0.54989,0.64944,0.67887,0.50042,1.06321,1.22678,1.06298,0.00109531,0.00109531,0.00109531
27,61.0051,0.92386,0.70724,0.95617,0.64667,0.59428,0.66691,0.50635,1.04037,1.12198,1.03521,0.00108913,0.00108913,0.00108913
28,63.0383,0.924,0.70195,0.95604,0.62517,0.69546,0.68327,0.5044,1.03242,1.04789,1.03857,0.00108294,0.00108294,0.00108294
29,64.8905,0.89846,0.67002,0.94874,0.83397,0.69675,0.72617,0.55306,1.0468,0.92064,1.04507,0.00107675,0.00107675,0.00107675
30,66.867,0.93192,0.69798,0.94962,0.69552,0.67827,0.71172,0.54156,1.01231,0.83335,1.01819,0.00107056,0.00107056,0.00107056
31,68.7625,0.91177,0.67294,0.9458,0.65159,0.7306,0.72636,0.52833,1.01347,0.81605,1.00423,0.00106437,0.00106437,0.00106437
32,70.6628,0.90321,0.66579,0.9449,0.66846,0.66984,0.69747,0.52901,1.08831,0.91461,1.04615,0.00105819,0.00105819,0.00105819
33,72.4493,0.95057,0.69865,0.95852,0.92384,0.61352,0.70361,0.52837,1.11298,0.88278,1.06612,0.001052,0.001052,0.001052
34,74.2215,0.91991,0.68458,0.95438,0.65717,0.69255,0.71489,0.52046,1.02503,0.96042,1.0241,0.00104581,0.00104581,0.00104581
35,75.9874,0.92088,0.68107,0.94745,0.71139,0.70038,0.72309,0.52078,1.10535,0.89243,1.05662,0.00103962,0.00103962,0.00103962
36,77.7421,0.89426,0.65741,0.94059,0.80528,0.72037,0.78718,0.56071,1.08452,0.86018,1.04611,0.00103344,0.00103344,0.00103344
37,79.6608,0.9255,0.64927,0.94271,0.77943,0.7336,0.76696,0.56659,1.01774,0.77545,1.02161,0.00102725,0.00102725,0.00102725
38,81.564,0.93295,0.68528,0.94861,0.64538,0.80048,0.78106,0.55005,1.13455,0.82517,1.06183,0.00102106,0.00102106,0.00102106
