epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.361,2.40176,4.33882,4.48146,1.93019,0.6969,0.2467,0.20329,0.12005,0.69423,0.24334,0.20424,0.11193,1.5752,2.46676,2.9173,1.24796,0.0001,0.0001,0.0001
2,14.7598,1.39287,2.25074,1.82583,1.19499,0.45362,0.33349,0.32379,0.22343,0.4561,0.34251,0.32728,0.20219,1.15549,2.57024,5.07259,1.13318,0.000211448,0.000211448,0.000211448
3,18.3017,1.17108,1.85765,1.30809,1.08764,0.56803,0.55744,0.53954,0.38805,0.56957,0.55929,0.54006,0.35851,1.2697,2.67158,2.08936,1.15807,0.000321783,0.000321783,0.000321783
4,21.864,1.14062,1.75741,1.19655,1.0739,0.30105,0.49391,0.30699,0.21197,0.29835,0.46653,0.3044,0.1904,1.11901,2.67953,11.2893,1.11103,0.000431003,0.000431003,0.000431003
5,25.0978,1.1035,1.75411,1.14437,1.06603,0.44605,0.65396,0.58353,0.37825,0.79248,0.47124,0.56077,0.29109,1.38704,3.5191,1.38843,1.25522,0.00053911,0.00053911,0.00053911
6,28.2658,1.1138,1.78038,1.09933,1.0796,0.49781,0.44077,0.55842,0.41121,0.49781,0.44077,0.55191,0.33882,1.30653,2.82185,2.22635,1.18549,0.000646103,0.000646103,0.000646103
7,31.6198,1.05086,1.6401,1.02048,1.05929,0.30868,0.54818,0.4849,0.31084,0.32998,0.54841,0.48602,0.27332,1.42071,3.36211,1.90008,1.25571,0.000751982,0.000751982,0.000751982
8,34.8602,1.17613,1.75504,1.08456,1.10261,0.55255,0.59197,0.56848,0.38793,0.54974,0.53827,0.55963,0.31824,1.21373,3.34433,3.71659,1.21594,0.000856748,0.000856748,0.000856748
9,38.0098,1.19714,1.75604,1.08566,1.08359,0.40146,0.56277,0.5721,0.36565,0.36452,0.66698,0.56166,0.34668,1.30365,2.65005,2.42026,1.23157,0.0009604,0.0009604,0.0009604
10,41.0835,1.14563,1.73931,0.98389,1.06999,0.28778,0.49382,0.37283,0.24885,0.28554,0.49197,0.36511,0.21723,1.20985,3.48028,2.54839,1.21342,0.00106294,0.00106294,0.00106294
